BS_Id,Avg_WD_710_EB,Sdev_WD_710_EB,Avg_WD_1016_EB,Sdev_WD_1016_EB,Avg_WD_1619_EB,Sdev_WD_1619_EB,Avg_WD_1924_EB,Sdev_WD_1924_EB,Avg_WD_710_WB,Sdev_WD_710_WB,Avg_WD_1016_WB,Sdev_WD_1016_WB,Avg_WD_1619_WB,Sdev_WD_1619_WB,Avg_WD_1924_WB,Sdev_WD_1924_WB,Avg_WE_710_EB,Sdev_WE_710_EB,Avg_WE_1016_EB,Sdev_WE_1016_EB,Avg_WE_1619_EB,Sdev_WE_1619_EB,Avg_WE_1924_EB,Sdev_WE_1924_EB,Avg_WE_710_WB,Sdev_WE_710_WB,Avg_WE_1016_WB,Sdev_WE_1016_WB,Avg_WE_1619_WB,Sdev_WE_1619_WB,Avg_WE_1924_WB,Sdev_WE_1924_WB
89,97.05,17.29,87.46,17.28,80.85,23.54,78.71,25.6,95.95,19.16,91.02,17.92,88.2,18.05,86.47,15.39,96.95,16.96,86.26,17.58,80.88,22.72,79.93,23.67,95.98,19.25,90.23,18.54,88.63,17.7,86.66,15.45
90,97.05,17,87.73,17.06,81.55,22.8,79.58,24.35,94.95,22.69,89.51,21.69,86.72,20.8,85.31,16.88,96.95,16.72,86.61,17.23,81.57,21.99,80.63,22.64,94.65,23.16,88.46,22.74,87.08,20.61,85.46,17
91,99.63,15.76,89.37,17.27,82.6,23.93,80.48,24.69,98.32,16.18,92.41,15.06,88.78,15.61,85.41,14.8,99.43,15.46,88.45,17.59,82.52,23.25,81.36,22.87,98.45,15.89,92.13,14.79,89.02,15.55,85.63,14.95
92,99.72,15.64,89.21,17.9,82.85,23.69,80.96,24.16,98.65,15.89,92.82,14.66,89.15,15.29,85.66,14.66,99.53,15.35,88.41,18.03,82.67,23.29,81.85,22.46,98.77,15.66,92.56,14.39,89.35,15.22,85.91,14.77
93,99.47,15.53,88.53,18.4,82.61,23.4,80.94,23.6,99.62,15.55,93.76,14.44,89.99,15.06,86.27,14.73,99.22,15.26,87.79,18.45,82.31,23.19,81.73,22.04,99.74,15.3,93.56,14.13,90.21,15,86.58,14.76
94,99.48,15.66,88.27,18.84,82.73,22.98,81.11,23.29,99.02,14.48,93.03,13.56,88.57,14.04,83.04,13.14,99.18,15.41,87.57,18.83,82.34,22.99,81.84,21.89,99.11,14.39,92.87,13.25,88.76,13.99,83.47,13.35
95,99.5,15.66,88.25,18.89,82.76,22.92,81.17,23.22,95.8,14.33,91.15,13.75,86.23,14.04,78.88,12.7,99.19,15.4,87.56,18.87,82.36,22.96,81.88,21.83,96.01,14.22,90.96,13.57,86.33,14.33,79.12,13.03
96,99.35,15.53,88.11,18.87,82.82,22.66,81.29,22.81,90.8,13.44,86.91,12.65,81.32,12.98,73.08,11.51,99.04,15.28,87.43,18.81,82.4,22.77,81.97,21.46,90.9,13.3,86.7,12.52,81.35,13.12,73.4,11.78
97,99.6,15.27,88.12,19.52,83.21,22.63,82.24,21.95,88.31,13.11,84.98,12.47,78.45,12.91,70.63,10.99,99.3,15.04,87.5,19.35,82.76,22.9,82.9,20.73,88.37,12.97,84.7,12.29,78.46,12.95,71.06,11.21
98,100.43,15.19,86.56,23.28,81.86,25.79,82.82,22.6,87.34,12.79,83.57,12.45,76.29,12.43,70.47,10.54,100.14,14.89,86.14,22.45,81.61,25.75,83.52,21.33,87.22,12.58,83.27,12.14,76.46,12.48,70.93,10.75
99,99.11,16.4,83.6,26.29,78.71,28.6,80.35,24.84,85.09,14.05,80.92,13.79,73.9,13.83,69.03,12.23,98.77,16,82.91,25.28,78.64,28.13,81.32,23.23,84.69,13.82,80.55,13.52,73.98,13.92,69.42,12.57
100,93.29,18.79,78.77,25.4,75.84,27.39,78.64,23.9,83.46,14.3,79.2,14.16,72.3,14.2,67.12,12.68,92.77,18.55,77.49,24.21,75.67,26.95,79.68,22.44,83.01,14.07,78.81,13.9,72.38,14.24,67.53,13.03
101,93.28,18.81,78.55,25.62,75.52,27.76,78.45,24.02,80.72,14.66,76.21,14.42,69.13,14.24,63.2,12.72,92.75,18.56,77.23,24.41,75.33,27.32,79.49,22.56,80.26,14.45,75.78,14.17,69.24,14.31,63.69,13.11
102,92.99,18.62,77.77,26.03,74.47,28.44,77.62,24.36,76.57,13.42,72.59,12.91,66,13.16,59.47,11.52,92.4,18.41,76.43,24.76,74.28,27.93,78.74,22.82,76.28,13.21,72.22,12.69,66.22,13.24,59.93,11.91
103,92.9,18.76,77.15,26.5,73.73,29.08,76.92,24.9,86.34,11.9,82.43,11.23,77.03,11.51,70.56,9.79,92.3,18.53,75.75,25.22,73.55,28.51,78.08,23.31,86.24,11.71,82.18,11.01,77.32,11.63,70.82,10.26
104,92.74,18.81,76.87,26.49,73.41,29.21,76.68,24.94,100.11,14.6,95.91,13.82,92.09,14.25,87.29,12.83,92.14,18.55,75.41,25.23,73.25,28.61,77.84,23.36,100.4,14.38,95.87,13.63,92.26,14.27,87.37,13.17
105,92.55,18.61,76.58,26.4,73.03,29.39,76.38,24.98,103.22,15.6,98.96,14.56,95.21,15.03,91.05,13.78,91.93,18.29,75.09,25.15,72.88,28.73,77.52,23.38,103.68,15.33,98.97,14.43,95.42,15.07,91.1,14.07
106,92.71,18.45,76.42,26.47,72.69,29.51,76.19,25.03,103.43,16.59,99.13,15.39,95.27,16.11,91.29,14.28,92.03,18.13,74.84,25.22,72.61,28.77,77.31,23.42,103.95,16.23,99.14,15.4,95.61,15.95,91.36,14.63
107,92.72,18.39,76.3,26.45,72.54,29.44,76.04,25.05,104.91,15.15,100.81,13.81,97.04,14.05,90.99,11.96,92.08,18.06,74.68,25.21,72.48,28.67,77.13,23.47,105.5,14.86,100.9,13.59,97.57,13.92,91.68,12.11
108,92.43,18.31,75.89,26.41,72.21,29.22,75.52,25.19,105.19,15.74,101.07,14.25,96.7,14.93,89.37,11.91,91.81,18.03,74.19,25.2,72.14,28.46,76.58,23.64,105.73,15.53,101.2,13.99,97.31,14.63,90.28,12.12
109,92.33,18.29,75.61,26.12,71.92,28.82,75.01,25.19,103.14,16.27,98.29,15,93.68,16.23,86.01,13.32,91.63,18.07,73.73,25.01,71.83,28.02,76.04,23.71,103.56,16.32,98.34,14.79,94.3,15.77,87.08,13.45
110,92.27,19.05,75.3,26.13,71.68,28.58,74.45,25.52,100.22,16.38,95.39,15.26,90.84,16.01,82.82,13.35,91.57,18.72,73.03,25.26,71.49,27.7,75.39,24.18,100.6,16.44,95.42,14.95,91.49,15.72,83.93,13.56
111,93.36,17.69,77.37,24.22,74.01,26.37,76.86,23.87,102.39,15.14,97.98,13.58,93.56,14.5,86.65,11.99,92.6,17.48,75.02,23.61,73.78,25.47,77.91,22.5,102.85,14.91,98.08,13.28,94.34,14.18,87.7,12.24
112,92.8,18.83,75.52,26.66,72.16,28.57,75.25,25.83,100.39,15.69,96.19,14.43,92.22,15.39,85.64,12.8,92.01,18.8,72.57,26.3,71.68,27.75,76.41,24.35,101.05,15.34,96.39,14.07,93.11,15.14,86.59,13.01
113,93.32,17.71,77.98,23.46,74.36,25.43,76.33,24.22,100.16,15.8,95.84,14.59,91.84,15.56,85.32,12.81,92.65,17.41,74.46,23.86,73.36,24.96,77.23,22.95,100.85,15.46,96.05,14.26,92.78,15.28,86.26,13.04
114,92.47,17.8,77.15,23.2,73.52,25.05,74.9,24.53,99.89,16.08,95.62,14.86,91.48,16.04,85.1,12.97,91.73,17.63,73.03,24.13,72.11,24.84,75.69,23.37,100.6,15.74,95.8,14.6,92.46,15.75,86.03,13.23
115,91.08,17.05,76.04,21.78,72.24,23.6,73.14,23.37,100.58,15.31,96.28,14.16,92.8,14.62,86.9,12.11,90.36,16.89,71.74,22.86,70.68,23.39,73.63,22.55,101.46,15.05,96.54,13.82,93.68,14.41,87.87,12.33
116,87.72,16.8,72.22,21.1,68.56,22.35,69.06,22.03,102.53,16.06,98.89,14.46,96.25,14.42,91.74,12.27,87.13,16.57,68.02,21.86,66.76,22.1,69.28,21.55,103.59,15.94,99.17,14.1,97.04,14.14,92.62,12.52
117,90.77,17.37,75.25,21.1,71.83,22,72.95,21.35,105.78,16.66,103.51,15.22,100.72,15.23,96,13.31,90.29,17.18,71.69,21.43,70.17,21.65,73.14,21.04,107.03,16.51,103.7,14.98,101.53,15.07,96.85,13.51
118,90.8,17.16,75.09,21.25,71.6,22.16,72.74,21.6,104.66,16.29,102.31,14.88,99.28,14.86,94.21,12.57,90.3,17.03,71.53,21.56,69.95,21.76,72.94,21.3,105.87,16.04,102.5,14.62,100.09,14.66,95.07,12.83
119,90.25,17.73,74,21.77,70.26,22.87,71.22,22.5,102.76,15.77,100.19,14.24,96.75,14.45,91.28,12.39,89.76,17.63,70.33,22.03,68.51,22.38,71.37,22.22,103.8,15.48,100.37,14.02,97.56,14.25,92.16,12.61
120,88.86,18.3,72.55,21.4,68.94,22.48,69.82,22.39,102.13,15.82,99.43,14.37,95.9,14.58,90.34,12.59,88.35,18.14,69,21.49,67.28,21.83,69.93,22.07,103.17,15.47,99.62,14.13,96.72,14.4,91.24,12.78
121,87.92,18.17,72,21.14,68.56,22.19,69.4,22.1,100.65,15.64,97.91,14.34,94.44,14.53,89.18,12.55,87.42,18.01,68.59,21.19,66.99,21.5,69.51,21.78,101.66,15.28,98.07,14.09,95.26,14.38,90.06,12.78
122,87.47,18.2,71.71,21.35,68.32,22.36,69.16,22.23,98.98,15.85,96.08,14.63,92.73,14.75,87.94,12.85,86.99,18.08,68.37,21.36,66.82,21.61,69.3,21.92,99.94,15.49,96.23,14.38,93.55,14.61,88.84,13.11
123,87.45,17.02,71.87,20.78,68.43,21.99,69.55,21.47,98.15,15.86,95.11,14.73,91.77,14.87,87.15,12.98,86.88,16.94,68.7,20.78,67.11,21.04,69.7,21.07,99.13,15.56,95.25,14.51,92.56,14.71,88.07,13.26
124,92,17.74,77.18,21.13,74.01,22.32,75.3,21.12,,,,,,,,,91.56,17.55,74.42,21.08,73.19,21.16,75.52,20.84,,,,,,,,
125,91.92,17.68,77.13,21.05,73.96,22.27,75.25,21.07,,,,,,,,,91.49,17.48,74.37,21,73.14,21.11,75.47,20.78,,,,,,,,
126,92.07,17.29,76.96,21.22,73.45,22.86,74.82,21.46,,,,,,,,,91.64,17.05,74.15,21.17,72.63,21.59,75.01,21.16,,,,,,,,
127,90.36,16.13,75.07,20.74,71.09,22.73,72.37,21.51,,,,,,,,,89.94,15.93,72.11,20.9,69.86,21.69,72.12,21.64,,,,,,,,
128,94.96,17.67,79.4,22.46,75.57,24.01,76.33,23.34,,,,,,,,,94.67,17.5,76.48,22.51,74.32,22.98,75.93,23.62,,,,,,,,
129,93.74,16.22,78.08,21.26,73.85,23.5,72.99,24.21,,,,,,,,,93.45,15.9,75.2,21.34,72.52,22.37,72.44,24.58,,,,,,,,
